Date,Open,High,Low,Close,Volume,Day of the week,Change,NASDAQ
01-04-2014,16.904499,17.2215,16.9,17.1495,72002000,3,,3658.399902
02-04-2014,17.2995,17.415001,17.018999,17.098,89510000,4,-0.0515,3665.98999
03-04-2014,17.091,17.125,16.423,16.681,127986000,5,-0.417,3637.580078
04-04-2014,16.7575,16.771999,15.7805,16.15,250692000,6,-0.531,3539.379883
07-04-2014,16.0495,16.247,15.6565,15.888,141548000,2,-0.262,3507.75
08-04-2014,16.094,16.4,15.922,16.3535,131552000,3,0.4655,3538.22998
09-04-2014,16.4235,16.608999,16.125,16.5905,101132000,4,0.237,3600.439941
10-04-2014,16.530001,16.549999,15.825,15.8555,122534000,5,-0.735,3487.76001
11-04-2014,15.7,15.825,15.475,15.5865,145750000,6,-0.269,3446.850098
14-04-2014,15.8835,16.024,15.564,15.7955,85870000,2,0.209,3474.629883
15-04-2014,15.835,15.914,15.275,15.804,107972000,3,0.0085,3487.850098
16-04-2014,16.0585,16.200001,15.7355,16.184,85698000,4,0.38,3533.090088
17-04-2014,15.988,16.433001,15.988,16.245501,85984000,5,0.061501,3534.530029
21-04-2014,16.1985,16.557501,16.115499,16.543501,59988000,2,0.298,3559.949951
22-04-2014,16.6,16.875,16.447001,16.466,74232000,3,-0.077501,3588.810059
23-04-2014,16.653,16.6565,16.1695,16.229,72092000,4,-0.237,3557.040039
24-04-2014,16.4835,16.870001,16.147499,16.8575,185874000,5,0.6285,3591.030029
25-04-2014,15.8125,15.8245,15.1355,15.1915,323604000,6,-1.666,3533.100098
28-04-2014,15.2,15.2195,14.4,14.829,289596000,2,-0.3625,3545.030029
29-04-2014,14.822,15.092,14.5225,15.019,130186000,3,0.19,3573.98999
30-04-2014,14.905,15.228,14.905,15.2065,81772000,4,0.1875,3582.02002
01-05-2014,15.2065,15.524,15.2,15.3945,86572000,5,0.188,3594.360107
02-05-2014,15.521,15.6645,15.2155,15.4005,79902000,6,0.006,3587.639893
05-05-2014,15.3185,15.5115,15.25,15.5025,50398000,2,0.102,3605.090088
06-05-2014,15.4765,15.4905,14.852,14.869,93646000,3,-0.6335,3556.51001
07-05-2014,14.778,14.82,14.334,14.6355,140304000,4,-0.2335,3546.469971
08-05-2014,14.541,14.794,14.3615,14.416,76964000,5,-0.2195,3540.419922
09-05-2014,14.5285,14.684,14.219,14.612,81260000,6,0.196,3555.699951
12-05-2014,14.715,15.167,14.708,15.143,74592000,2,0.531,3612.72998
