Date,Open,High,Low,Close,Volume,Day of the week,Change,NASDAQ
01-04-2014,27.859013,28.344681,27.859013,28.280355,158434,3,-0.007976,3658.399902
02-04-2014,29.917362,30.158699,28.032537,28.272379,2942055,4,0.136623,3665.98999
03-04-2014,28.414488,29.283602,28.129271,28.409002,101983228,5,-1.326357,3637.580078
04-04-2014,28.653831,28.809404,27.075665,27.082645,127386783,6,-0.248817,3539.379883
07-04-2014,26.962973,27.348913,26.285334,26.833828,88033033,2,0.835207,3507.75
08-04-2014,27.055719,27.674021,27.006353,27.669035,63024560,3,0.460735,3538.22998
09-04-2014,27.904388,28.191101,27.571802,28.12977,66616395,4,-1.156326,3600.439941
10-04-2014,28.172651,28.172651,26.921087,26.973444,80737057,5,-0.516083,3487.76001
11-04-2014,26.554594,26.926073,26.254417,26.457361,78496923,6,0.095738,3446.850098
14-04-2014,26.838814,27.130512,26.405504,26.553099,51501009,2,0.195463,3474.629883
15-04-2014,26.767509,26.848787,25.852022,26.748562,77101101,3,1.002249,3487.850098
16-04-2014,27.075665,27.773746,26.926073,27.750811,97865955,4,-1.019204,3533.090088
17-04-2014,27.365368,27.399775,26.484785,26.731607,136190888,5,-0.372976,3534.530029
21-04-2014,26.731607,26.761526,26.208046,26.358631,51334553,2,0.308655,3559.949951
22-04-2014,26.359631,26.787954,26.303284,26.667286,47307527,3,-0.392424,3588.810059
23-04-2014,26.616425,26.620415,26.240458,26.274862,41046384,4,-0.088756,3557.040039
24-04-2014,26.430935,26.509718,26.034521,26.186106,37663121,5,-0.447771,3591.030029
25-04-2014,26.053968,26.16317,25.700439,25.738335,42007014,6,0.048368,3533.100098
28-04-2014,25.788198,25.859003,25.071167,25.786703,66710653,2,0.526054,3545.030029
29-04-2014,25.774237,26.400517,25.745316,26.312757,53981801,3,-0.051857,3573.98999
30-04-2014,26.307772,26.327717,26.054466,26.2609,35023895,4,0.233859,3582.02002
01-05-2014,26.283339,26.573542,26.12228,26.494759,38110345,5,-0.170533,3594.360107
02-05-2014,26.614929,26.626896,26.208544,26.324226,33770463,6,-0.005983,3587.639893
05-05-2014,26.169153,26.372595,25.994633,26.318243,20482080,2,-0.631765,3605.090088
06-05-2014,26.189596,26.268379,25.682489,25.686478,33780490,3,-0.258292,3556.51001
07-05-2014,25.718889,25.763268,25.0961,25.428186,64486563,4,0.051859,3546.469971
08-05-2014,25.353392,25.790691,25.253166,25.480045,40426688,5,0.385441,3540.419922
09-05-2014,25.467579,25.923826,25.140976,25.865486,48789585,6,0.557968,3555.699951
12-05-2014,26.103832,26.436916,25.879448,26.423454,38250730,2,0.158066,3612.72998
13-05-2014,26.471823,26.730112,26.403011,26.58152,33068541,3,-0.321117,3611.129883
14-05-2014,26.577032,26.577032,26.192589,26.260403,23835261,4,-0.332589,3593.25
15-05-2014,26.213032,26.22151,25.800165,25.927814,34087331,5,0.032412,3565.169922
16-05-2014,25.998121,26.018566,25.701437,25.960226,29705333,6,0.410374,3587.199951
19-05-2014,25.913855,26.416473,25.808292,26.3706,25555972,2,0.045376,3615.620117
20-05-2014,26.414478,26.738091,26.24295,26.415976,35695734,3,0.457244,3600.310059
21-05-2014,26.572046,26.885336,26.522682,26.87322,23925508,4,0.305163,3635.610107
22-05-2014,26.98242,27.305035,26.964968,27.178383,32316482,5,0.380953,3650.860107
23-05-2014,27.28808,27.606207,27.110567,27.559336,38643806,6,0.660686,3677.330078
