Date,Open,High,Low,Close,Volume,Day of the week,Change,NASDAQ
01-04-2014,60.459999,62.66,60.240002,62.619999,59291000,3,0.100002,3658.399902
02-04-2014,63.209999,63.91,62.209999,62.720001,66277000,4,-3.229999,3665.98999
03-04-2014,62.549999,63.169998,59.130001,59.490002,83859000,5,-2.740002,3637.580078
04-04-2014,59.939999,60.200001,56.32,56.75,125214400,6,0.200001,3539.379883
07-04-2014,55.900002,58,55.439999,56.950001,108488000,2,1.239998,3507.75
08-04-2014,57.68,58.709999,57.169998,58.189999,78836000,3,4.220001,3538.22998
09-04-2014,59.630001,62.459999,59.189999,62.41,100215000,4,-3.25,3600.439941
10-04-2014,63.080002,63.18,58.68,59.16,114988000,5,-0.630001,3487.76001
11-04-2014,57.599998,60.310001,57.310001,58.529999,91452000,6,0.36,3446.850098
14-04-2014,60.09,60.450001,57.779999,58.889999,72325000,2,0.200001,3474.629883
15-04-2014,59.290001,59.68,55.880001,59.09,108623000,3,0.630001,3487.850098
16-04-2014,59.790001,60.189999,57.740002,59.720001,78774000,4,-0.780002,3533.090088
17-04-2014,59.299999,60.580002,58.720001,58.939999,88040000,5,2.300003,3534.530029
21-04-2014,59.459999,61.240002,59.150002,61.240002,60364000,2,1.789997,3559.949951
22-04-2014,62.650002,63.439999,62.220001,63.029999,60631000,3,-1.669998,3588.810059
23-04-2014,63.450001,63.48,61.259998,61.360001,95908700,4,-0.490002,3557.040039
24-04-2014,63.599998,63.650002,59.77,60.869999,138769000,5,-3.16,3591.030029
25-04-2014,59.970001,60.009998,57.57,57.709999,92502000,6,-1.57,3533.100098
28-04-2014,58.049999,58.310001,54.66,56.139999,107758000,2,2.010003,3545.030029
29-04-2014,56.09,58.279999,55.84,58.150002,75557000,3,1.629997,3573.98999
30-04-2014,57.580002,59.849998,57.16,59.779999,76093000,4,1.370003,3582.02002
01-05-2014,60.43,62.279999,60.209999,61.150002,82429000,5,-0.690003,3594.360107
02-05-2014,61.299999,61.889999,60.18,60.459999,54189000,6,0.760002,3587.639893
05-05-2014,59.669998,61.349998,59.18,61.220001,46057000,2,-2.690002,3605.090088
06-05-2014,60.98,61.150002,58.490002,58.529999,55901000,3,-1.14,3556.51001
07-05-2014,58.77,59.299999,56.259998,57.389999,78587000,4,-0.630001,3546.469971
08-05-2014,57.23,58.82,56.5,56.759998,61251000,5,0.480004,3540.419922
09-05-2014,56.849998,57.650002,56.380001,57.240002,52584000,6,2.59,3555.699951
12-05-2014,57.98,59.900002,57.98,59.830002,48575000,2,0,3612.72998
13-05-2014,59.66,60.889999,59.509998,59.830002,48525000,3,-0.600002,3611.129883
14-05-2014,59.529999,60.450001,58.950001,59.23,47429000,4,-1.310002,3593.25
15-05-2014,59.259998,59.380001,57.52,57.919998,56814000,5,0.100002,3565.169922
16-05-2014,58.310001,58.450001,57.310001,58.02,47933000,6,1.189999,3587.199951
19-05-2014,57.889999,59.560001,57.57,59.209999,43034000,2,-0.649998,3615.620117
20-05-2014,59.5,60.189999,58.18,58.560001,53931000,3,1.930001,3600.310059
21-05-2014,58.560001,60.5,58.25,60.490002,58992000,4,0.029998,3635.610107
22-05-2014,60.939999,61.48,60.400002,60.52,54200000,5,0.829998,3650.860107
