Date,Open,High,Low,Close,Volume,Day of the week,Change,NASDAQ
01-04-2014,41.150002,41.59,41.07,41.419998,32605000,3,-0.07,3658.399902
02-04-2014,41.439999,41.66,41.169998,41.349998,28666700,4,-0.34,3665.98999
03-04-2014,41.290001,41.290001,40.709999,41.009998,30139600,5,-1.139999,3637.580078
04-04-2014,41.25,41.389999,39.639999,39.869999,51409600,6,-0.07,3539.379883
07-04-2014,39.959999,40.27,39.740002,39.799999,37559600,2,0.020001,3507.75
08-04-2014,39.75,39.93,39.200001,39.82,35918600,3,0.650001,3538.22998
09-04-2014,39.93,40.549999,39.880001,40.470001,27398700,4,-1.11,3600.439941
10-04-2014,40.439999,40.689999,39.09,39.360001,45960800,5,-0.150002,3487.76001
11-04-2014,39,39.790001,39,39.209999,34330200,6,-0.029999,3446.850098
14-04-2014,39.110001,39.41,38.900002,39.18,32006600,2,0.57,3474.629883
15-04-2014,39.34,39.959999,39.049999,39.75,33968700,3,0.650002,3487.850098
16-04-2014,40.060001,40.419998,39.91,40.400002,30615800,4,-0.390004,3533.090088
17-04-2014,40.009998,40.200001,39.509998,40.009998,36688400,5,-0.069999,3534.530029
21-04-2014,40.130001,40.150002,39.790001,39.939999,22221200,2,0.050003,3559.949951
22-04-2014,39.959999,40.139999,39.830002,39.990002,27056700,3,-0.300003,3588.810059
23-04-2014,39.990002,39.990002,39.470001,39.689999,24602800,4,0.170002,3557.040039
24-04-2014,39.740002,39.970001,39.299999,39.860001,42381600,5,0.049999,3591.030029
25-04-2014,40.290001,40.68,39.75,39.91,56876800,6,0.959999,3533.100098
28-04-2014,40.139999,41.290001,40.09,40.869999,50610200,2,-0.360001,3545.030029
29-04-2014,41.099998,41.189999,40.389999,40.509998,29636200,3,-0.109996,3573.98999
30-04-2014,40.400002,40.5,40.169998,40.400002,35458700,4,-0.400002,3582.02002
01-05-2014,40.240002,40.360001,39.950001,40,28787400,5,-0.310001,3594.360107
02-05-2014,40.310001,40.34,39.66,39.689999,43416600,6,-0.259999,3587.639893
05-05-2014,39.52,39.639999,39.299999,39.43,22460900,2,-0.369999,3605.090088
06-05-2014,39.290001,39.349998,38.950001,39.060001,27112400,3,0.359997,3556.51001
